# {"t_start": 1602448160.086903, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,4,2.850668
0.0,4,2.852116
0.0,2,2.852856
0.0,5,2.854491
0.0,5,2.856212
0.0,5,2.857894
0.0,9,2.860816
0.0,8,2.863702
0.0,11,2.867656
0.0,7,2.869907
0.0,14,2.874584
0.0,16,2.880009
0.0,9,2.88334
0.0,7,2.886224
0.0,2,2.886866
0.0,2,2.887475
0.0,4,2.888819
0.0,5,2.890516
0.0,8,2.892964
0.0,2,2.893678
0.0,9,2.896836
0.0,5,2.899334
0.0,9,2.902557
0.0,19,2.9088
0.0,3,2.909818
0.0,12,2.913859
0.0,13,2.918223
0.0,9,2.921137
0.0,17,2.92828
0.0,4,2.929908
0.0,7,2.932876
0.0,3,2.934222
0.0,2,2.934944
0.0,7,2.93729
0.0,4,2.938808
0.0,7,2.94121
0.0,3,2.942214
0.0,6,2.944257
0.0,4,2.945606
0.0,6,2.948248
0.0,4,2.949871
0.0,3,2.950927
0.0,3,2.951929
0.0,10,3.008837
0.0,8,3.011599
0.0,13,3.016148
0.0,17,3.022329
0.0,12,3.026066
0.0,14,3.032639
0.0,17,3.037928
0.0,11,3.041595
0.0,4,3.042939
0.0,8,3.04559
0.0,3,3.046602
0.0,11,3.050606
0.0,8,3.053246
0.0,4,3.05462
0.0,2,3.055317
0.0,13,3.059534
0.0,4,3.060866
0.0,14,3.066562
0.0,7,3.068913
0.0,6,3.070883
0.0,14,3.075512
0.0,14,3.08038
0.0,14,3.086772
0.0,7,3.089109
0.0,13,3.093759
0.0,20,3.100643
0.0,6,3.102698
0.0,2,3.10339
0.0,9,3.10642
0.0,6,3.108453
0.0,12,3.112414
0.0,5,3.114407
0.0,2,3.115151
0.0,9,3.118113
0.0,4,3.119421
0.0,5,3.121033
0.0,8,3.123654
0.0,2,3.124329
0.0,5,3.126212
0.0,5,3.12794
0.0,2,3.12874
0.0,26,3.138117
0.0,3,3.139204
0.0,8,3.141942
0.0,2,3.142675
0.0,2,3.143375
0.0,2,3.144058
0.0,13,3.148368
0.0,3,3.149831
0.0,8,3.152418
0.0,10,3.155789
0.0,2,3.156483
0.0,12,3.160426
0.0,2,3.16114
0.0,7,3.163542
0.0,15,3.168763
0.0,3,3.16978
0.0,6,3.171919
0.0,13,3.176587
0.0,2,3.177254
0.0,9,3.180186
0.0,3,3.1812
0.0,13,3.186133
0.0,13,3.190652
0.0,15,3.195872
0.0,2,3.196638
0.0,5,3.198798
0.0,4,3.20029
0.0,9,3.203207
0.0,6,3.205242
0.0,2,3.206056
0.0,5,3.207733
0.0,2,3.208412
0.0,4,3.209763
0.0,12,3.214095
0.0,10,3.217385
0.0,3,3.218399
0.0,5,3.220058
0.0,12,3.224065
0.0,2,3.224753
