# {"t_start": 1602341425.2324522, "env_id": "CartPole-v1"} 
r,l,t
22.0,22,9.542708
36.0,36,9.554997
17.0,17,9.560891
23.0,23,9.568548
44.0,44,9.583754
56.0,56,9.602556
41.0,41,9.616596
47.0,47,9.632282
30.0,30,9.642334
42.0,42,9.656644
16.0,16,9.66208
50.0,50,9.678428
56.0,56,9.696856
18.0,18,9.703188
19.0,19,9.710062
33.0,33,9.721071
52.0,52,9.738588
67.0,67,9.760616
33.0,33,9.772573
20.0,20,9.778928
66.0,66,9.800617
10.0,10,9.804058
34.0,34,9.815518
40.0,40,9.82902
54.0,54,9.846774
19.0,19,9.852923
54.0,54,9.870812
25.0,25,9.882059
23.0,23,9.890128
23.0,23,9.897813
65.0,65,9.919825
23.0,23,9.9276
32.0,32,9.938319
33.0,33,10.001495
28.0,28,10.012633
67.0,67,10.038011
73.0,73,10.065072
38.0,38,10.077713
16.0,16,10.083191
150.0,150,10.133886
40.0,40,10.147118
42.0,42,10.160875
21.0,21,10.167829
12.0,12,10.171705
78.0,78,10.195861
30.0,30,10.206058
74.0,74,10.230477
67.0,67,10.252192
42.0,42,10.266585
19.0,19,10.273314
16.0,16,10.278764
34.0,34,10.289767
26.0,26,10.29852
41.0,41,10.312792
54.0,54,10.331205
33.0,33,10.342735
28.0,28,10.352389
28.0,28,10.361814
116.0,116,10.400617
14.0,14,10.405384
40.0,40,10.418767
42.0,42,10.433266
28.0,28,10.442713
22.0,22,10.450115
23.0,23,10.457951
40.0,40,10.471148
34.0,34,10.48169
34.0,34,10.492517
22.0,22,10.499777
64.0,64,10.523399
32.0,32,10.534697
24.0,24,10.543102
16.0,16,10.548807
88.0,88,10.580758
28.0,28,10.590206
33.0,33,10.601127
76.0,76,10.62789
56.0,56,10.64697
27.0,27,10.655832
46.0,46,10.671295
71.0,71,10.695587
51.0,51,10.766349
20.0,20,10.773128
94.0,94,10.804798
85.0,85,10.833953
42.0,42,10.84835
34.0,34,10.859533
25.0,25,10.868071
39.0,39,10.881887
14.0,14,10.887034
60.0,60,10.909904
47.0,47,10.925542
58.0,58,10.945043
41.0,41,10.958932
63.0,63,10.982178
23.0,23,10.990849
40.0,40,11.006973
22.0,22,11.01461
28.0,28,11.024823
63.0,63,11.047123
33.0,33,11.05787
75.0,75,11.082408
16.0,16,11.087717
60.0,60,11.107546
118.0,118,11.146739
20.0,20,11.153358
46.0,46,11.169173
59.0,59,11.187971
14.0,14,11.192933
15.0,15,11.198159
31.0,31,11.208705
68.0,68,11.232037
31.0,31,11.242407
41.0,41,11.255966
15.0,15,11.26099
24.0,24,11.269055
32.0,32,11.27974
27.0,27,11.289573
15.0,15,11.294607
34.0,34,11.306914
42.0,42,11.321375
32.0,32,11.332331
14.0,14,11.337476
34.0,34,11.349375
96.0,96,11.382947
30.0,30,11.392157
63.0,63,11.413762
70.0,70,11.437377
44.0,44,11.452742
14.0,14,11.511808
30.0,30,11.522257
25.0,25,11.530888
100.0,100,11.563992
54.0,54,11.582272
59.0,59,11.602196
94.0,94,11.636142
63.0,63,11.657462
79.0,79,11.684041
38.0,38,11.696723
29.0,29,11.706633
17.0,17,11.712474
26.0,26,11.721917
40.0,40,11.735473
31.0,31,11.746189
41.0,41,11.760815
17.0,17,11.767577
16.0,16,11.773157
70.0,70,11.797044
36.0,36,11.809662
21.0,21,11.817317
62.0,62,11.839008
14.0,14,11.84378
15.0,15,11.850075
20.0,20,11.856657
53.0,53,11.874831
10.0,10,11.878128
13.0,13,11.882793
65.0,65,11.904306
38.0,38,11.917363
79.0,79,11.944609
13.0,13,11.949146
18.0,18,11.955428
33.0,33,11.967885
37.0,37,11.980892
48.0,48,11.99845
19.0,19,12.005083
29.0,29,12.015496
47.0,47,12.030958
22.0,22,12.038394
48.0,48,12.054378
19.0,19,12.060994
53.0,53,12.078758
20.0,20,12.085581
36.0,36,12.097494
32.0,32,12.108485
13.0,13,12.113036
21.0,21,12.12009
27.0,27,12.12943
14.0,14,12.134326
24.0,24,12.142167
27.0,27,12.151566
27.0,27,12.160423
47.0,47,12.177273
56.0,56,12.196747
60.0,60,12.216872
31.0,31,12.279171
